visitorid,first_seen,last_seen,total_events,total_views,unique_items,unique_categories,avg_price_viewed,max_price_viewed,avg_availability,has_converted,user_tenure_days,events_per_day,conversion_rate
0,2015-09-11 20:49:49.439,2015-09-11 20:55:17.175,18,18,3,2,284960.6666666667,719880.0,0.6666666666666666,0,1,18.0,0.0
1,2015-08-13 17:46:06.444,2015-08-13 17:46:06.444,2,2,1,1,177486.0,354960.0,0.0,0,1,2.0,0.0
2,2015-08-07 17:51:44.567,2015-08-07 18:20:57.845,68,68,4,1,2437887.882352941,81821076.0,0.6323529411764706,0,1,68.0,0.0
3,2015-08-01 07:10:35.296,2015-08-01 07:10:35.296,3,3,1,1,13514.800000000001,26400.0,0.0,0,1,3.0,0.0
4,2015-09-15 21:24:27.167,2015-09-15 21:24:27.167,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
5,2015-07-17 01:45:56.439,2015-07-17 01:45:56.439,2,2,1,1,147066.0,294120.0,0.0,0,1,2.0,0.0
6,2015-08-30 06:03:48.202,2015-08-31 03:21:25.697,99,81,3,1,116600.77575757577,347880.0,1.0,0,1,99.0,0.0
7,2015-05-14 05:39:36.753,2015-05-16 04:20:39.214,40,40,3,2,17600.076,30840.0,0.475,0,1,40.0,0.0
8,2015-05-31 00:01:53.812,2015-05-31 00:01:53.812,1,1,1,0,0.0,0.0,0.0,0,1,1.0,0.0
9,2015-07-08 17:36:47.285,2015-07-08 17:36:47.285,8,8,1,1,73023.0,80160.0,1.0,0,1,8.0,0.0
10,2015-08-04 18:30:29.611,2015-08-04 18:30:29.611,14,14,1,1,25184.571428571428,35520.0,0.5,0,1,14.0,0.0
11,2015-08-15 00:29:43.361,2015-08-15 00:29:43.361,30,30,1,1,17909.12,26040.0,0.5,0,1,30.0,0.0
12,2015-05-03 15:50:12.744,2015-05-03 15:50:12.744,2,2,1,1,3637.2,7272.0,0.0,0,1,2.0,0.0
13,2015-06-18 04:42:22.103,2015-06-18 04:43:15.136,13,13,2,1,313465.8461538461,1123236.0,0.38461538461538464,0,1,13.0,0.0
14,2015-05-28 15:18:18.250,2015-05-28 15:18:18.250,10,10,1,1,51177.36,113880.0,0.5,0,1,10.0,0.0
